Country,Land
Postal code,Postcode
Weight (and higher),Gewicht (en hoger)
Amount (and higher),Bedrag (en hoger)
Quantity (and higher),Aantal (en hoger)
price,Prijs
API Credentials are invalid,API gegevens zijn niet geldig
API Credentials are valid,API gegevens zijn geldig
Invalid Matrix Rates file format,Ongeldig bestand voor variabele tarieven
An error occurred while importing the rates,Er ging iets mis bij het importeren van de tarieven
An error occurred while importing the matrix rates,Er ging iets mis bij het importeren van de variabele tarieven
File has not been imported. See the following list of errors: %s,Bestand is niet geïmporteerd. Bekijk de foutmelding(en): %s
Invalid row #%s,Ongeldige rij #%s
"Duplicate row #%s (country ""%s"", zip ""%s"", weight ""%s"", subtotal ""%s"" and quantity ""%s"").","Dubbele rij #%s (land ""%s"", postcode ""%s"", gewicht ""%s"", bedrag ""%s"" and aantal ""%s"")."
Customer packaging,Verpakking klant
BULKY,Bulky
PALLET,Pallet
LARGE,Groot
MEDIUM,Medium
SMALL,Klein
DHLParcel,DHL Parcel
Homedelivery,Thuisbezorging
Servicepoint,DHL Servicepoint
Same-day delivery,DHL Vandaag
No neighbour delivery,Niet bij buren bezorgen
Evening delivery,Avondbezorging
Expresses (delivery before 11:00),Expresser (bezorging voor 11:00)
Delivery to construction site ,Bouwplaatsbezorging 
Saturday delivery,Zaterdagbezorging
"Undisclosed sender","Undisclosed sender"
"Shipment insurance","Shipment insurance"
"Age check of recipient by courier","Age check of recipient by courier"
Flat,Vast
Matrix,Variabel
Test API Credentials,Test API gegevens
Export CSV,Exporteer CSV
"You can find your <i>Api Keys</i> in your <a href=""%s"" title=""My DHL Parcel dashboard"" target=""_blank"">My DHL Parcel dashboard</a>.","U vindt uw <i>Api sleutel</i> in uw <a href=""%s"" title=""My DHL Parcel omgeving"" target=""_blank"">My DHL Parcel omgeving</a>."
https://my.dhlparcel.nl/business/#/settings?section=api-keys,https://my.dhlparcel.nl/business/#/settings?section=api-keys
Version,Versie
This is version <b>&quot;v%s&quot;</b> of DHL Parcel&lsquo;s Magento module.,Dit is versie <b>&quot;v%s&quot;</b> van DHL Parcel&lsquo;s Magento plug-in.
The latest version is <b>&quot;v%s&quot;</b>.,De laatste versie is <b>&quot;v%s&quot;</b>.
Note: version information is accurate only when the cache is cleared.,Let op: de informatie over versies klopt alleen wanneer de cache van uw browser is geleegd.
"If you have any questions or suggestions, please contact <a href=""https://www.dhlparcel.nl/en/business/plug-play"" title=""Support DHL Parcel"" target=""_blank"">DHL Parcel Support</a>","Heeft u vragen of opmerkingen, neem dan contact op met <a href=""https://www.dhlparcel.nl/nl/zakelijk/plug-play"" title=""support"" target=""_blank"">support</a>"
DHL ServicePoint details,DHL ServicePoint details
Please select a DHL ServicePoint,Selecteer een DHL ServicePoint
Shipment options,Verzendopties
Packages size and weight,Gewicht en grootte van het pakket
"Sorry, no quotes are available for this order at this time.",Op dit moment zijn er helaas geen prijsopgaven beschikbaar voor deze bestelling.
Incl. tax,Incl. belasting
